GESLACHTSNAMEN,SOORTNAMEN
Alfaro,cultratus
Allodontichthys,huberi
Alloheterandria,hubbsi
Alloophorus,polylepis
Allotoca,tamazulae
Ameca,zonistius
Anableps,caliensis
Ataeniobius,nigroventralis
Belonesox,robustus
Brachyrhaphis,catarinae
Carlhubbsia,diazi
Chapalichthys,dugesii
Characodon,goslinei
Cnesterodon,maculata
Dermogenys,meeki
Diphyacantha,zacapuensis
Gambusia,splendens
Girardinichthys,anableps
Girardinus,dowii
Goodea,microlepis
Hemirhamphodon,toweri
Heterandria,belizanus
Heterophallus,episcopi
Hiatirhaphis,hartwegi
Hubbsina,hessfeldi
Ilyodon,holdridgei
Jenynsia,olomina
Limia,punctifer
Neoheterandria,rhabdophora
Neoophorus,roseni
Neotoca,roswithae
Nomorhamphus,sp
Paleocharacodon,terrabensis
Pamphorichthys,kidderi
Phallichthys,stuarti
Phalloceros,encaustus
Phalloptychus,pardalis
Phallotorynus,audax
Poecilia,garmani
Poeciliopsis,lateralis
Priapella,brevirostratus
Priapichthys,carnegiei
Pseudolimia,decemmaculatus
Pseudopoecilia,holopteros
Pseudoxiphophorus,hypselurus
Quintana,iguape
Sanjuanableps,omorgmatos
Scolichthys,pirai
Skiffia,raddai
Tapatia,septentrionalis
Tomeurus,bispina
Tondanichthys,brachynotoperus
Tucmanableps,bruneiensis
Xenodexia,burmanica
Xenoophorus,collettei
Xenophallus,palawanensis
Xenotaenia,pectoralis
Xenotoca,philippinus
Xiphophorus,pusilla
Zoogoneticus,robertsi
,siamensis
,sumatranus
,viviparus
,vogti
,chocoensis
,dariensis
,affinis
,alvarezi
,amistadensis
,atrora
,aurata
,baracoana
,beebei
,dominicensis
,eurystoma
,gaigei
,geiseri
,georgei
,heterochir
,hispaniolanae
,holbrooki
,hurtadoi
,krumholzi
,lemaitrei
,longispinis
,luma
,manni
,marshi
,melapleura
,nicaraguensis
,nobilis
,panuco
,pseudopunctata
,punctata
,puncticulata baracoana
,puncticulata bucheri
,puncticulata monticola
,puncticulata puncticulata
,quadruncus
,regani
,rhizophorae
,senilis
,sexradiata
,speciosa
,wrayi
,xanthosoma
,yucatana australis
,yucatana
,zarskei
,multiradiatus
,viviparus
,creolus
,cubensis
,denticulatus
,falcatus
,metallicus
,microdactylus microdactylus
,microdactylus
,microdactylus rivasi
,serripenis
,uninotatus
,atripinnis
,byssus
,chrysopunctatus
,kapuasensis
,kecil
,kuekenthali
,phaiosoma
,pogonognathus
,sesamum
,tengah
,formosa
,echeagarayi
,milleri
,rachowi
,cascajalensis
,parismina
,ireneae
,turneri
,furcidens
,lennoni
,whitei
,alternimaculata
,darwini
,diphyes
,eigenmanni
,eirmostigma
,herbsti
,lineata
,luxata
,maculata
,obscura
,onca
,sanctaecatarinae
,sulfurica
,tucumana
,unitaenia
,weitzmanni
,caymanensis
,fuscomaculata
,garnieri
,grossidens
,immaculata
,islai
,mandibularis
,melanogaster
,miragoanensis
,nigrofasciata
,ornata
,pauciradiata
,perugiae
,rivasi
,sp laguna oveido
,sulphurophila
,tridens
,versicolor
,vittata
,yaguajali
,zonata
,cana
,elegans
,tridentiger
,regalis
,bilineata
,aenigma
,bakeri
,brembachi
,celebensis
,ebrardtii
,hageni
,kolonodalensis
,lanceolatus
,liemi
,manifesta
,megarrhamphus
,pectoralis
,philippinus
,pinnimaculata
,rex
,rossi
,sagittarius
,species
,towoetii
,versicolor
,viviparus
,weberi
,guzmanae
,akroa
,araguaiensis
,hasemani
,hollandi
,minor
,pertapeh
,scalpridens
,sp
,amates
,fairweatheri
,pittieri
,quadripunctatus
,tico
,alessandrae
,anisophallus
,buckupi
,caudimaculatus
,caudimaculatus reticulatus
,caudimaculatus reticulatus auratus
,elachistos
,enneaktinos
,harpagos
,heptaktinos
,leptokeras
,leticiae
,lucenorum
,malabarbai
,maldonadoi
,megapolos
,mikrommatos
,ocellatus
,pellos
,reisi
,spiloura
,titthos
,uai
,eigenmanni
,iheringii
,januarius
,dispilos
,fasciolatus
,jucundus
,pankalos
,psittakos
,victoriae
,bifurca
,boesemani
,branneri
,butleri
,catemaconis
,caucana
,chica
,cuneata
,dauli
,dominicensis
,dovii
,elegans
,formosa
,gillii
,hispaniolana
,hondurensis
,kempkesi
,koperi
,kykesis
,latipinna
,latipunctata
,marcellinoi
,mechthildae
,mexicana
,minima
,nelsoni
,obscura
,orri
,pallida
,parae
,petenensis
,picta
,reticulata
,rositae
,salvatoris
,sarrafae
,species
,sphenops
,sulphuraria
,teresae
,vandepolli
,velifera
,vivipara
,waiapi
,wandae
,wingei
,baenschi
,balsas
,catemaco
,elongata
,fasciata
,gracilis
,hnilickai
,infans
,jackschultzi
,latidens
,letonai
,lucida
,lutzi
,monacha
,occidentalis
,paucimaculata
,pleurospilus
,presidionis
,prolifica
,retropinna
,santaelena
,scarlli
,sonoriensis
,turneri
,turrubarensis
,viriosa
,bonita
,chamulae
,compressa
